Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Liquidity_State,Leverage_State,Efficiency_State,Size_State,Profitability_State
ADP,Sơn Á Đông,HOSE,Công nghiệp,2023,-0.1208011046916645,-0.3443789599046125,0.3909103472636918,-0.7918907176736629,0.8766414435791585,Trung bình,Trung bình,Trung bình,Thấp,Cao
ADP,Sơn Á Đông,HOSE,Công nghiệp,2024,-0.1285974587784295,-0.4368933508094956,0.906388538425452,-0.6881845373249434,1.249447522406827,Trung bình,Trung bình,Cao,Thấp,Cao
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2020,-0.570510033452018,1.6258329587520506,,-0.279206790002895,-0.5195633618081892,Thấp,Cao,Không xác định,Trung bình,Thấp
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2021,-0.2980877169714454,0.6285100353948964,-0.3272465863609475,-0.2479653353830059,0.1382579668889717,Trung bình,Cao,Trung bình,Trung bình,Trung bình
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2022,-0.4086231667131616,0.6549575006969245,-0.0035537172915529,-0.2596825732297639,-0.0373609539828164,Trung bình,Cao,Trung bình,Trung bình,Trung bình
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2023,-0.3658486695918108,0.0746689412292121,-0.3982047261543399,-0.2088227193758346,-0.0757199458967559,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2024,-0.2787059362928992,0.3215931452621765,-0.2203596665771428,-0.216504413690941,-0.152991478172906,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
AGG,Bất động sản An Gia,HOSE,Tài chính,2020,-0.3179669772353182,0.5717229017333639,,0.4276312772613448,0.3497563093029005,Trung bình,Cao,Không xác định,Trung bình,Trung bình
AGG,Bất động sản An Gia,HOSE,Tài chính,2021,-0.4886458715690145,0.7532988337752511,-0.1978444142156828,0.3991079711668749,0.0492359255354026,Trung bình,Cao,Trung bình,Trung bình,Trung bình
AGG,Bất động sản An Gia,HOSE,Tài chính,2022,-0.3714947074314946,0.338147922413715,0.8523689611078652,0.6882799929588994,-0.1427574517704613,Trung bình,Trung bình,Cao,Cao,Trung bình
AGG,Bất động sản An Gia,HOSE,Tài chính,2023,-0.193068191167838,0.1994568564401602,0.4794387600837796,0.5335003446882752,0.521029475107218,Trung bình,Trung bình,Trung bình,Cao,Cao
AGG,Bất động sản An Gia,HOSE,Tài chính,2024,-0.1503191767248099,-0.0691334218181098,0.1763228959080021,0.2034924548860421,0.1649586926522609,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2020,-0.0554871036776227,-0.1142265640304095,,-0.464787364449177,-0.4466387386202423,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2021,-0.2182719825594709,0.9670911797887496,0.3961422571860433,0.0718655599390392,-0.4039314018274338,Trung bình,Cao,Trung bình,Trung bình,Trung bình
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2022,-0.5249082557950279,1.0911897450117816,0.0120795188714655,-0.1321914593703116,-2.20649176068383,Thấp,Cao,Trung bình,Trung bình,Thấp
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2023,-0.6194260494584442,3.889555906605149,-0.3446872738658238,-0.7292538279211132,-4.605514736073681,Thấp,Cao,Trung bình,Thấp,Thấp
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2024,-0.4736872849058676,-1.971352510455276,-2.2479648310883187,-1.187707708098952,-2.55005252941993,Trung bình,Thấp,Thấp,Thấp,Thấp
AGR,Agriseco,HOSE,Tài chính,2020,1.979609010656889,-0.4811003761588235,,-0.6896073964400753,0.0402045814946983,Cao,Trung bình,Không xác định,Thấp,Trung bình
AGR,Agriseco,HOSE,Tài chính,2021,0.702124653408141,-0.629256836395545,,-0.5845237642514299,1.263809133132298,Cao,Thấp,Không xác định,Thấp,Cao
AGR,Agriseco,HOSE,Tài chính,2022,1.1007621722860386,-0.4876441513068688,,-0.580810195254279,0.2943301656539443,Cao,Trung bình,Không xác định,Thấp,Trung bình
AGR,Agriseco,HOSE,Tài chính,2023,0.0365775250024142,-0.5172492476011549,,-0.4508556595970768,0.1929342869593266,Trung bình,Thấp,Không xác định,Trung bình,Trung bình
AGR,Agriseco,HOSE,Tài chính,2024,-0.099441269368914,-0.4173536122011194,,-0.4188032937922355,0.1575455755316779,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2020,-0.6887159804187996,0.0831725197069248,,0.4191426310552915,-0.1929530497758298,Thấp,Trung bình,Không xác định,Trung bình,Trung bình
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2021,-0.3748085935631223,-0.0421585699802447,-0.223380622814481,0.3895553061690793,-0.4586231985526742,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2022,-0.5061895537470701,-0.131702346487676,-0.2100899993429381,0.462609695055619,0.5648125145855476,Thấp,Trung bình,Trung bình,Trung bình,Cao
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2023,-0.5093421634627827,-0.149433103764452,-0.1395381129098903,0.4053353733650277,-0.30428642520873,Thấp,Trung bình,Trung bình,Trung bình,Trung bình
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2024,-0.3361438925310385,-0.280854616235338,0.018643947291367,0.3799326947003222,-0.2898750248286187,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế,2020,2.17118918025132,-0.2827135686805571,,-1.2055858538260218,0.382374269528241,Cao,Trung bình,Không xác định,Thấp,Trung bình
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế,2021,1.5548837266211546,-0.1836557704551651,-1.6287428965200592,-1.3541430802526355,-1.1952022775268638,Cao,Trung bình,Thấp,Thấp,Thấp
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế,2022,0.0548554704410649,0.1832594748876197,-1.698861825940623,-1.5459886680672268,-1.683654316786131,Trung bình,Trung bình,Thấp,Thấp,Thấp
APG,Chứng khoán APG,HOSE,Tài chính,2020,2.791232487803025,-0.4986328600112283,,-1.8216282621448736,0.642886700155644,Cao,Trung bình,Không xác định,Thấp,Cao
APG,Chứng khoán APG,HOSE,Tài chính,2021,-0.1853374934009322,-0.6121604381161663,,-0.9031282685528168,1.558669159047098,Trung bình,Thấp,Không xác định,Thấp,Cao
APG,Chứng khoán APG,HOSE,Tài chính,2022,3.4456635271388283,-0.5136886657999306,,-0.96890416604483,-1.7295774376304536,Cao,Thấp,Không xác định,Thấp,Thấp
APG,Chứng khoán APG,HOSE,Tài chính,2023,0.7400358878078435,-0.5850749719258962,,-0.7055451512151432,0.5424081935112245,Cao,Thấp,Không xác định,Thấp,Cao
APG,Chứng khoán APG,HOSE,Tài chính,2024,0.0588544962377286,-0.5506118075919955,,-0.7972147947046371,-0.4929836314674101,Trung bình,Thấp,Không xác định,Thấp,Trung bình
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2020,-0.4152497873436314,-0.0204784399764883,,1.4625816402925684,-0.1995620425228046,Trung bình,Trung bình,Không xác định,Cao,Trung bình
