Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2021,-0.11402578765970889,-0.037119263475527464,0.16223307711701035,1.6182457839653617,-0.4845173596303916
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2022,-0.13405717836789863,0.02122192217380782,0.2390656506654803,1.638864510203773,-0.35581644593076933
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2023,-0.18785285579485467,0.009853930169335438,0.39066243947345247,1.5604923121522436,-0.4709091767123293
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2024,-0.19262195010139563,-0.031984017628149355,0.20663652397679794,1.4288057698670413,-0.24067444874272692
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2020,0.6338640739963909,-0.35156467193415314,,0.0436454682254393,-0.1948687050711603
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2021,-0.17639757991884628,-0.26158916029095886,-0.29448616226802093,0.01028246867515531,-0.5542653070159378
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2022,-0.037182760389444076,-0.19995879812907308,-0.16969156889190373,0.38916885636086396,-0.061635999070350694
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2023,-0.14585432202195528,-0.2021770084288445,-0.12719443327734714,0.39636847276475295,-0.5882878568533512
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2024,-0.2785303862318969,-0.2998431563135395,-0.21211948951371135,0.3547584651612633,-0.3346763108089281
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2020,-0.4618840813833878,0.6533601950444672,,1.3644308553281435,-0.2814927201538873
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2021,-0.24663216177235747,0.11159597174362773,-0.41505234424400006,1.3054957804292981,-0.20487032104020395
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2022,-0.36684622131133066,0.31771894735669415,-0.438142955698416,1.2998192786269875,0.0573343453192472
