Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2021,-0.3055124200306074,0.8230804321954053,0.4340835526523475,0.8263964868214434,0.2706322159201721,0.40973605351175213
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2022,-0.4134336950399133,0.3806000489256875,0.3129608725633862,0.5380774113700779,0.1480015385650611,0.1932412352768599
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2023,-0.4981105770623255,-3.7778401902638983,-0.5320741084649238,0.5527457078924197,-0.3276075945424173,-0.916577352488229
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2024,-0.371362722650536,0.29629008405039,-0.3285192417966707,0.5780208327281959,0.038954730126472,0.04267673649157024
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2021,-0.2383380802862318,-0.3143834872881491,-0.0944973797378707,-0.4372590876473497,-0.6765194619725673,-0.3521994993864337
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2022,-0.1179295908519297,-0.4293998587234923,-0.322084028626693,-0.3390065846455931,0.3393760970698268,-0.1738087931555763
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2023,-0.2648120995998868,-0.009591548259557,-0.498226195832736,-0.2704923615144102,0.0289560432287801,-0.20283323239556195
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2024,-0.0306349324137987,-0.1688564545809313,-0.235691561265677,-0.2475658142096348,0.0677143294709652,-0.12300688659981532
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2021,-0.2281266263185171,-0.0338982690466539,-0.4425603546641227,-0.9412911997719372,-0.3747428136674838,-0.40412385269374296
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2022,-0.3819962453161911,-0.1689671982494331,-0.4005477627957051,-1.1416329305877773,-1.0411489802009937,-0.6268586234300202
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2023,-0.3643233846433036,-0.0781207792604646,-0.4679363323733672,-1.030178199497651,-0.6777008162695989,-0.523651902408877
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2024,-0.3089418818963168,-0.2116331741989974,-0.4167596242550389,-0.7628215231705341,0.1653660550519489,-0.3069580296937876
BCG,Bamboo Capital,HOSE,Tài chính,2021,-0.3438313782518584,0.9284575484996584,-0.3321964821396779,0.8991052238534082,0.1018080145338448,0.250668585299075
BCG,Bamboo Capital,HOSE,Tài chính,2022,-0.2929369458799368,0.0314308331606215,-0.2934997899000701,1.089123627416814,-0.0827297488259174,0.09027759519430222
BCG,Bamboo Capital,HOSE,Tài chính,2023,-0.1998864392435897,-0.1127845687043647,-0.3401688561221517,1.0533827141886158,-0.4232743233770872,-0.004546294651715488
BCG,Bamboo Capital,HOSE,Tài chính,2024,-0.1598535820701107,0.1154989290058423,-0.2178181861323502,1.0384134286428413,0.0318995210168976,0.16162802209262406
BCM,Becamex IDC,HOSE,Tài chính,2021,-0.4275714180174636,0.0764477376991158,-0.2069992769039939,1.2751492363316572,-0.099859362423369,0.1234333833371893
BCM,Becamex IDC,HOSE,Tài chính,2022,-0.4686345556757936,0.1015691991021331,-0.2210119785476524,1.2237383306570644,0.2941656209574464,0.18596532329863957
BCM,Becamex IDC,HOSE,Tài chính,2023,-0.2434703991223114,0.0279958448353274,-0.2003690662723851,1.307792468516337,0.3360695829446836,0.24560368618033027
BCM,Becamex IDC,HOSE,Tài chính,2024,-0.1866422678805375,0.1196213699270625,-0.214709793669287,1.1595866918238211,0.2148362919059959,0.218538458421411
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2021,-0.3368441629989898,0.3349822163436006,0.7654395647642087,0.6573686191979936,0.1078389050247138,0.30575702846630537
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2022,-0.2999980088298748,0.4792685474213839,0.2217596844942402,0.6916261951414484,0.1117084656052572,0.24087297676649094
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2023,-0.3160558993966593,0.145424854494378,0.597726255464861,0.66625911518513,0.1080163553608182,0.24027413622170563
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2024,-0.2410673863043113,-0.0928241642372615,0.6777399642831312,0.5937856321548243,1.0098703578949866,0.3895008807582738
BHN,HABECO,HOSE,Hàng Tiêu dùng,2021,0.0026502780646512,-0.4344901626430539,-0.0079259268739289,0.7765769696368228,-0.2839729332769569,0.010567644981506853
BHN,HABECO,HOSE,Hàng Tiêu dùng,2022,0.1391421837523168,-0.4201416127424159,0.0686897894090703,0.7588699892805101,0.091614070454497,0.12763488403079565
BHN,HABECO,HOSE,Hàng Tiêu dùng,2023,0.3650582618183149,-0.0333694832957454,0.0882858378793447,0.7252503013237557,0.0290717964945959,0.23485934284405316
BHN,HABECO,HOSE,Hàng Tiêu dùng,2024,0.0924310532510217,-0.1905321983530637,0.4966973059332883,0.6985695809011596,0.0458731234980042,0.22860777304608199
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2021,-0.4815336623962019,-0.156769105644837,-1.881095882976984,0.1835832247321152,0.1445118953766952,-0.43826070618184254
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2022,-0.3489786304995879,0.0117125322471381,-1.6621600947481123,0.2726202930910785,0.4317286190449891,-0.2590154561728989
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2023,-0.2163867368083261,0.0117442995566677,-1.1805467357976824,0.4452343469378844,0.6311979399941985,-0.06175137722345161
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2024,-0.185905475072164,0.0883768473045405,-1.2653121989631484,0.47580702121724,0.3446601101965967,-0.10847473906338703
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2021,0.8668418096211311,-0.6041253015009946,-0.2119511073092145,-1.3004412046721154,-0.2447353011198742,-0.29888222099621353
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2022,3.474228560793485,-0.5666475720775052,-0.4263221345070651,-1.1063611719815447,-0.1723844659137977,0.24050264326271456
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2023,5.305483500845959,-0.0582538626330087,-0.5990430066680817,-1.3412713953069595,-0.1644712527632049,0.6284887966949407
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2024,1.1897257917311137,-0.2945172426663758,-0.5482952409817581,-1.2257450133591488,-0.1623591050421058,-0.20823816206365495
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,2021,1.085620066741921,-0.4898737727470071,0.2862724263765066,-1.4594144488026273,-0.0457968765764043,-0.12463852100152222
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,2022,1.102895648274259,-0.4648381076433881,1.2764054270949023,-1.5475418167709782,0.3661571003512979,0.14661565026121856
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,2023,1.7431014579826904,-0.2895877298389503,-0.056742650315698,-1.514239963312606,0.7273427365591209,0.12197477021491136
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,2024,1.1887983930463628,-0.479784492272738,-0.0245968382013367,-1.3999179222949245,0.4208239317912861,-0.058935385586270074
