Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score,cluster_raw,cluster
NNC,Đá Núi Nhỏ,HOSE,Công nghiệp,2021,0.4381377547458436,-0.4436650330562449,0.1582323029478612,-1.1376915743749585,0.3408804644957433,-0.128821217048351,2,1
NO1,Tâp đoàn 911,HOSE,Công nghiệp,2021,-0.3149700004444086,-0.1341322313227934,0.2254535817826752,-0.7177692899156789,-0.2965318778922882,-0.2475899635584987,0,0
PAC,Pin Ắc quy Miền Nam,HOSE,Công nghiệp,2021,-0.3224216002499341,0.3207873470560143,0.6585308502002076,0.5178995049899993,0.3934327643838141,0.3136457732760202,1,2
PC1,Tập đoàn PC1,HOSE,Công nghiệp,2021,-0.1966921912596137,0.3631505319006907,-0.1917385199257894,1.645054087997805,-0.0667536220775768,0.3106040573271031,1,2
PDN,Cảng Đồng Nai,HOSE,Công nghiệp,2021,-0.0849583681794401,-0.2654131857102828,0.074962769879023,-0.1578935218383231,0.8558831723930682,0.084516173308809,2,1
PHC,Phuc Hung Holdings,HOSE,Công nghiệp,2021,-0.3322926897716707,0.9336480857259412,-0.3386103741991558,0.1443914472398065,-0.3263331731956772,0.0161606591598488,0,0
PJT,Vận tải thủy PETROLIMEX,HOSE,Công nghiệp,2021,-0.337910943426716,-0.1777395250420126,0.8725075789811833,-0.5539579520077745,-0.2408728993856105,-0.0875947481761861,0,0
PVP,Vận tải Dầu khí Thái Bình Dương,HOSE,Công nghiệp,2021,0.1847854184097342,-0.3010264276765478,-0.2098033584964381,0.2089451760788045,0.1885816641174086,0.0142964944865922,2,1
PVT,Vận tải Dầu khí PVTrans,HOSE,Công nghiệp,2021,-0.0622955722169931,-0.167647621001225,-0.0888182616882277,1.407310732275171,0.0719125036273694,0.2320923561992189,1,2
REE,Cơ Điện Lạnh REE,HOSE,Công nghiệp,2021,-0.1265975256093129,-0.0978463501727953,-0.3621384020313464,1.6786806758427466,0.1211039720549332,0.242640474016845,1,2
SC5,Xây dựng Số 5,HOSE,Công nghiệp,2021,-0.2764239575451134,1.0301630058267808,-0.1456423684223995,0.3277703220819598,-0.3054035772997053,0.1260926849283044,1,2
SFI,Vận tải SAFI,HOSE,Công nghiệp,2021,0.0415892673802037,-0.2969648894860272,0.3998097976790837,-0.0032138497582949,1.3318422371401475,0.2946125125910225,2,1
SGN,Phục vụ mặt đất Sài Gòn,HOSE,Công nghiệp,2021,1.2680956424268623,-0.457966113273747,-0.2130716488579481,-0.4211664187730481,-0.2981109690248084,-0.0244439015005378,2,1
SRF,SEAREFICO,HOSE,Công nghiệp,2021,-0.3281838189371992,0.5576143703988162,-0.2782221960736055,0.0364812229005221,-0.4166039631294449,-0.0857828769681822,0,0
STG,Kho Vận Miền Nam,HOSE,Công nghiệp,2021,-0.1059786579507731,-0.3317809796845695,0.1067295459586804,0.5320234812340078,0.2505484314855561,0.0903083642085803,1,2
SVI,Bao bì Biên Hòa,HOSE,Công nghiệp,2021,-0.2528557244096455,-0.1506591779342041,0.2328333643266992,0.0755535288682042,0.2323810030596274,0.0274505987821362,0,0
TCD,ĐT Phát triển CN và Vận tải,HOSE,Công nghiệp,2021,-0.3077651990648444,1.0606676713005756,-0.1828579385714427,0.8422642981872719,0.5476814587228974,0.3919980581148915,1,2
TCL,Tan Cang Logistics,HOSE,Công nghiệp,2021,-0.2418627591011065,-0.283603460589759,0.1777339734682502,-0.1627758307246936,0.6874070953012034,0.0353798036707788,2,1
TCO,Vận tải Duyên Hải,HOSE,Công nghiệp,2021,0.1690407300334283,-0.4232152241730692,-0.2285444818352593,-0.9816884122275626,0.5057971095365396,-0.1917220557331846,2,1
